202.155.18.38:8443#ID [391ms]
34.250.168.254:443#IE [235ms]
3.250.142.12:443#IE [250ms]
85.159.229.122:443#IE [250ms]
54.229.164.147:2053#IE [265ms]
52.19.138.237:2053#IE [265ms]
20.67.254.104:443#IE [266ms]
3.252.156.154:443#IE [266ms]
194.87.245.135:2053#IE [297ms]
91.225.218.230:443#IL [282ms]
80.178.58.56:443#IL [297ms]
45.150.108.59:443#IL [297ms]
64.176.167.56:8443#IL [1328ms]
4.240.110.47:443#IN [156ms]
20.235.220.189:443#IN [172ms]
65.20.85.14:443#IN [250ms]
45.89.105.211:443#IN [297ms]
103.181.177.88:443#IN [328ms]
195.35.21.37:443#IN [360ms]
143.110.247.61:2096#IN [422ms]
143.110.247.61:8443#IN [437ms]
151.236.24.54:443#IS [250ms]
185.247.226.138:443#IS [313ms]
89.147.109.212:443#IS [328ms]
89.147.111.223:2053#IS [344ms]
45.83.21.111:8443#IS [1297ms]
195.246.230.125:443#IS [1329ms]
194.165.59.20:443#IT [281ms]
185.47.172.172:8443#IT [281ms]
113.30.151.151:2053#IT [297ms]
113.30.151.151:8443#IT [297ms]
172.238.238.203:2053#IT [312ms]
80.211.48.113:443#IT [312ms]
194.87.47.205:443#IT [328ms]
45.92.70.176:8443#IT [328ms]
154.31.117.200:443#JP [高速78ms]
166.88.97.209:443#JP [79ms]
147.79.20.149:8443#JP [94ms]
126.220.82.161:443#JP [94ms]
154.19.187.181:8443#JP [109ms]
154.19.187.181:443#JP [109ms]
216.23.86.110:8443#JP [109ms]
115.163.106.137:443#JP [109ms]
144.24.73.232:443#KR [62ms]
158.247.199.106:443#KR [187ms]
43.200.87.5:443#KR [187ms]
64.176.226.26:8443#KR [234ms]
45.196.233.37:443#KR [281ms]
193.123.232.91:443#KR [312ms]
146.56.188.74:443#KR [328ms]
64.110.71.6:443#KR [328ms]
185.22.67.12:443#KZ [281ms]
185.253.8.64:2053#KZ [297ms]
185.253.8.65:2053#KZ [297ms]
195.58.52.52:8443#KZ [312ms]
83.222.22.61:8443#KZ [313ms]
213.155.22.139:443#KZ [313ms]
194.32.141.156:443#KZ [328ms]
109.248.170.245:443#KZ [328ms]
94.131.13.110:443#LT [250ms]
94.176.235.22:443#LT [265ms]
80.208.227.162:443#LT [265ms]
85.206.172.44:443#LT [266ms]
5.199.169.243:8443#LT [266ms]
185.237.185.110:2053#LT [281ms]
194.135.85.34:443#LT [281ms]
185.237.185.182:2053#LT [281ms]
195.123.212.222:2053#LV [250ms]
192.36.41.238:2096#LV [250ms]
213.139.229.211:443#LV [250ms]
31.57.29.231:443#LV [250ms]
31.58.77.194:2053#LV [250ms]
31.56.28.75:443#LV [250ms]
185.237.219.224:2087#LV [265ms]
176.126.162.169:8443#LV [265ms]
194.58.45.120:2053#MD [250ms]
194.48.248.157:443#MD [266ms]
185.250.148.240:443#MD [281ms]
193.36.38.17:443#MD [297ms]
176.123.2.196:443#MD [297ms]
45.67.229.8:443#MD [312ms]
193.42.108.114:443#MD [313ms]
185.216.68.218:8443#MD [328ms]
89.185.82.124:8443#MK [281ms]
195.144.24.34:443#MK [312ms]
46.183.185.142:443#MK [328ms]
46.183.185.37:443#MK [328ms]
45.83.141.93:443#MK [1266ms]
45.202.246.172:443#MO [359ms]
216.238.88.154:8443#MX [250ms]
216.238.82.140:8443#MX [265ms]
216.238.80.148:8443#MX [265ms]
45.170.244.62:443#MX [266ms]
131.196.254.84:443#MX [281ms]
131.196.254.151:443#MX [281ms]
216.238.79.83:8443#MX [281ms]
131.196.253.141:443#MX [1281ms]
96.126.190.196:443#MY [125ms]
45.89.107.125:443#MY [391ms]
45.89.107.146:443#MY [391ms]
45.89.107.78:2053#MY [407ms]
185.128.227.27:443#MY [1187ms]
163.61.103.239:443#MY [1297ms]
38.54.112.233:443#MY [1312ms]
152.53.200.15:443#NL [187ms]
51.158.204.115:443#NL [203ms]
185.36.143.123:443#NL [203ms]
193.160.96.159:443#NL [203ms]
213.188.223.161:443#NL [204ms]
188.253.27.63:443#NL [218ms]
158.101.199.249:8443#NL [218ms]
195.133.59.174:2053#NL [218ms]
194.5.98.105:2053#NO [281ms]
194.5.98.105:8443#NO [281ms]
194.5.98.17:443#NO [297ms]
144.31.217.77:443#NO [328ms]
81.29.149.219:8443#NO [328ms]
45.149.63.135:2053#PL [219ms]
185.253.7.22:443#PL [234ms]
145.239.85.117:8443#PL [235ms]
145.239.88.255:2053#PL [235ms]
185.224.132.92:2087#PL [235ms]
146.59.18.234:443#PL [250ms]
146.59.18.201:443#PL [250ms]
145.239.85.117:2053#PL [250ms]
45.12.131.34:8443#PT [281ms]
31.129.22.199:8443#PT [312ms]
185.138.89.45:2053#PT [312ms]
185.138.89.29:8443#PT [1312ms]
85.90.196.11:443#RO [265ms]
185.39.30.18:2087#RO [265ms]
82.117.255.207:443#RO [266ms]
176.97.76.192:443#RO [281ms]
85.90.196.38:443#RO [281ms]
176.97.76.48:8443#RO [281ms]
185.39.30.18:8443#RO [281ms]
38.133.142.152:443#RO [296ms]
89.46.236.145:443#RS [250ms]
185.48.250.164:443#RS [250ms]
45.15.160.250:443#RS [266ms]
45.15.160.249:443#RS [281ms]
2.56.172.184:443#RS [297ms]
87.121.38.57:443#RS [313ms]
45.15.160.220:443#RS [1266ms]
38.180.100.80:443#RS [1266ms]
46.29.162.166:443#RU [141ms]
195.133.53.166:8443#RU [156ms]
147.45.147.212:8443#RU [219ms]
88.210.53.139:443#RU [250ms]
155.212.169.10:443#RU [250ms]
5.188.118.92:8443#RU [250ms]
37.230.114.182:8443#RU [250ms]
82.97.249.34:8443#RU [250ms]
185.231.102.98:443#SE [234ms]
62.182.198.187:443#SE [234ms]
185.229.221.92:443#SE [235ms]
51.21.59.26:443#SE [250ms]
62.182.193.13:443#SE [250ms]
62.182.194.189:443#SE [250ms]
193.168.197.37:8443#SE [250ms]
62.182.192.194:443#SE [250ms]
43.133.61.219:443#SG [94ms]
43.160.195.223:443#SG [94ms]
43.134.174.114:443#SG [94ms]
43.156.181.203:443#SG [110ms]
129.226.150.167:443#SG [110ms]
77.93.90.231:443#SG [187ms]
194.233.68.198:8443#SG [188ms]
116.251.217.65:443#SG [250ms]
194.58.66.220:443#SI [250ms]
5.180.55.184:8443#SK [281ms]
37.9.171.189:443#SK [297ms]
5.35.103.185:8443#SK [297ms]
45.129.141.188:443#SK [312ms]
91.242.163.179:2053#SK [343ms]
45.150.128.159:443#TH [266ms]
138.2.85.81:2083#TH [266ms]
45.150.131.246:443#TH [266ms]
43.229.148.43:443#TH [281ms]
43.229.148.110:443#TH [297ms]
43.249.33.117:443#TH [297ms]
157.85.96.9:443#TH [297ms]
45.154.24.170:443#TH [297ms]
185.234.66.91:443#TR [250ms]
94.131.123.173:443#TR [250ms]
138.124.107.124:443#TR [266ms]
188.132.192.190:2053#TR [266ms]
138.124.107.35:443#TR [266ms]
138.124.107.101:8443#TR [266ms]
38.180.113.22:443#TR [266ms]
138.124.107.132:443#TR [281ms]
220.135.92.105:2087#TW [94ms]
223.165.4.124:8443#TW [281ms]
185.248.184.201:2053#TW [328ms]
125.228.236.138:443#TW [1094ms]
223.165.4.124:2053#TW [1281ms]
5.34.182.153:8443#UA [281ms]
185.86.77.181:8443#UA [282ms]
91.238.105.102:443#UA [296ms]
91.218.212.223:443#UA [313ms]
91.231.182.28:2053#UA [328ms]
91.231.182.28:2083#UA [328ms]
47.57.181.17:443#US [78ms]
198.199.115.61:443#US [171ms]
154.21.89.103:8443#US [172ms]
154.17.3.204:8443#US [172ms]
154.17.3.148:443#US [172ms]
154.26.176.148:8443#US [172ms]
154.26.183.210:8443#US [172ms]
154.17.25.156:8443#US [172ms]
157.22.128.7:443#UZ [1421ms]
163.61.74.121:443#VN [203ms]
160.22.16.187:443#VN [203ms]
161.248.31.35:443#VN [235ms]
139.84.236.69:443#ZA [375ms]
